,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,0,0,63453,86,0,0,1841
1,Février,0,0,54837,29,24,0,721
2,Mars,0,0,119070,76,43,0,312
3,Avril,0,0,84385,65,32,0,1427
4,Mai,0,0,87170,120,99,0,421
5,Juin,0,0,99949,53,50,0,718
6,Juillet,0,0,121476,105,13,0,4845
7,Aout,0,0,26794,61,47,0,0
8,Septembre,302248,0,136107,125,129,0,493
9,Octobre,267805,0,120189,342,0,0,641
10,Novembre,306980,0,165570,229,138,0,936
11,Décembre,341436,0,96866,614,514,119,415
