,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,0,0,1716692,4187,0,0,41971
1,Février,0,0,1321547,1217,1317,0,19651
2,Mars,0,0,3235833,2794,733,0,6754
3,Avril,0,0,1795748,2136,2269,0,30279
4,Mai,0,0,1576612,6147,1261,0,10782
5,Juin,0,0,1928769,2809,916,0,12057
6,Juillet,0,0,4531959,3376,409,0,113824
7,Aout,0,0,473763,3584,1496,0,0
8,Septembre,4087717,0,9231176,10062,2049,0,9830
9,Octobre,5908057,0,3054682,18951,0,0,10575
10,Novembre,6641371,0,5870978,17086,1992,0,16382
11,Décembre,10268774,0,2279258,48613,10997,3682,10102
