annee,mois,intervenant,appartenance,duree,media,chaine,emission
2021,decembre,MACRON Emmanuel,Président de la République en débat politique,01:29:43,Radio,France Info,Journaux
2021,decembre,CASTEX Jean,Premier Ministre,01:29:27,Radio,France Info,Journaux
2021,decembre,VERAN Olivier,Ministre,01:24:57,Radio,France Info,Journaux
2021,decembre,JADOT Yannick,Europe Ecologie-les Verts,01:17:00,Radio,France Info,Journaux
2021,decembre,COQUEREL Eric,La France insoumise,01:06:59,Radio,France Info,Journaux
2021,decembre,MACRON Emmanuel,Président de la République hors débat politique,00:56:26,Radio,France Info,Journaux
2021,decembre,PECRESSE Valérie,Les Républicains,00:54:06,Radio,France Info,Journaux
2021,decembre,ATTAL Gabriel,Ministre,00:49:39,Radio,France Info,Journaux
2021,decembre,CIOTTI Eric,Les Républicains,00:36:18,Radio,France Info,Journaux
2021,decembre,HIDALGO Anne,Parti socialiste,00:33:59,Radio,France Info,Journaux
2021,decembre,HOCQUARD Frédéric,Parti socialiste,00:30:51,Radio,France Info,Journaux
2021,decembre,ZEMMOUR Eric,Reconquête,00:28:55,Radio,France Info,Journaux
2021,decembre,WAMYTAN Roch,Front de libération nationale kanak et socialiste,00:28:41,Radio,France Info,Journaux
2021,decembre,BALANANT Erwan,Mouvement démocrate,00:24:03,Radio,France Info,Journaux
2021,decembre,AUBERT Julien,Les Républicains,00:22:57,Radio,France Info,Journaux
2021,decembre,MELENCHON Jean-Luc,La France insoumise,00:21:12,Radio,France Info,Journaux
2021,decembre,BOCH Jean Luc,Divers Droite,00:21:09,Radio,France Info,Journaux
2021,decembre,ROUSSEAU Sandrine,Europe Ecologie-les Verts,00:20:48,Radio,France Info,Journaux
2021,decembre,KLEIN Mathieu,Parti socialiste,00:20:29,Radio,France Info,Journaux
2021,decembre,TAUBIRA Christiane,Divers Gauche,00:20:19,Radio,France Info,Journaux
2021,decembre,MILITANT(E) LES REPUBLICA,Les Républicains,00:20:05,Radio,France Info,Journaux
2021,decembre,NASROU Othman,Libres,00:20:03,Radio,France Info,Journaux
2021,decembre,BAS Philippe,Les Républicains,00:19:48,Radio,France Info,Journaux
2021,decembre,BOROWCZYK Julien,La République en marche,00:19:31,Radio,France Info,Journaux
2021,decembre,BORCHIO-FONTIMP Alexandra,Les Républicains,00:17:42,Radio,France Info,Journaux
2021,decembre,CORBIERE Alexis,La France insoumise,00:17:37,Radio,France Info,Journaux
2021,decembre,STRAUMANN Eric,Les Républicains,00:17:04,Radio,France Info,Journaux
2021,decembre,ROUSSEL Fabien,Parti communiste français,00:15:23,Radio,France Info,Journaux
2021,decembre,DUPOND-MORETTI Eric,Ministre,00:15:04,Radio,France Info,Journaux
2021,decembre,DURIMEL Harry,Europe Ecologie-les Verts,00:14:43,Radio,France Info,Journaux
2021,decembre,OBONO Danièle,La France insoumise,00:14:31,Radio,France Info,Journaux
2021,decembre,PORTELLI Florence,Libres,00:14:17,Radio,France Info,Journaux
2021,decembre,HORTEFEUX Brice,Les Républicains,00:14:08,Radio,France Info,Journaux
2021,decembre,COLLARD Gilbert,Rassemblement national,00:13:51,Radio,France Info,Journaux
2021,decembre,EVREN Agnès,Les Républicains,00:13:45,Radio,France Info,Journaux
2021,decembre,DOMBREVAL Loïc,La République en marche,00:12:51,Radio,France Info,Journaux
2021,decembre,BAYOU Julien,Europe Ecologie-les Verts,00:12:10,Radio,France Info,Journaux
2021,decembre,BRAUN-PIVET Yaël,La République en marche,00:12:00,Radio,France Info,Journaux
2021,decembre,CHASSAIGNE André,Parti communiste français,00:11:54,Radio,France Info,Journaux
2021,decembre,PIETRASZEWSKI Laurent,Ministre,00:11:48,Radio,France Info,Journaux
2021,decembre,FAURE Olivier,Parti socialiste,00:11:44,Radio,France Info,Journaux
2021,decembre,VALLETOUX Frédéric,Agir,00:11:42,Radio,France Info,Journaux
2021,decembre,LUREL Victorin,Parti socialiste,00:11:36,Radio,France Info,Journaux
2021,decembre,BECHT Olivier,Agir,00:11:27,Radio,France Info,Journaux
2021,decembre,REDA Robin,Libres,00:11:08,Radio,France Info,Journaux
2021,decembre,VIDAL Frédérique,Ministre,00:10:58,Radio,France Info,Journaux
2021,decembre,FASQUELLE Daniel,Les Républicains,00:10:56,Radio,France Info,Journaux
2021,decembre,TROCHU Laurence,Les Républicains,00:10:53,Radio,France Info,Journaux
2021,decembre,LEFEBVRE Rémi,Gauche républicaine et socialiste,00:10:44,Radio,France Info,Journaux
2021,decembre,VITALI Pierre,Les Républicains,00:10:29,Radio,France Info,Journaux
2021,decembre,JACOBELLI Laurent,Rassemblement national,00:10:18,Radio,France Info,Journaux
2021,decembre,KANNER Patrick,Parti socialiste,00:10:11,Radio,France Info,Journaux
2021,decembre,BOURGUIGNON Brigitte,Ministre,00:10:08,Radio,France Info,Journaux
2021,decembre,KARLESKIND Pierre,La République en marche,00:10:06,Radio,France Info,Journaux
2021,decembre,POISSON Jean-Frédéric,"VIA, la voie du peuple",00:10:06,Radio,France Info,Journaux
2021,decembre,AUBRY Manon,La France insoumise,00:10:02,Radio,France Info,Journaux
2021,decembre,RIXAIN Marie-Pierre,La République en marche,00:09:43,Radio,France Info,Journaux
2021,decembre,CARAYON Guilhem,Les Républicains,00:09:34,Radio,France Info,Journaux
2021,decembre,JOYANDET Alain,Les Républicains,00:09:32,Radio,France Info,Journaux
