annee,mois,intervenant,appartenance,duree,media,chaine,emission
2021,novembre,MELENCHON Jean-Luc,La France insoumise,05:18:33,Chaînes TV infos,BFM TV,Journaux
2021,novembre,ATTAL Gabriel,Ministre,01:58:45,Chaînes TV infos,BFM TV,Journaux
2021,novembre,ZEMMOUR Eric,Divers Droite,01:52:14,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MACRON Emmanuel,Président de la République hors débat politique,01:45:55,Chaînes TV infos,BFM TV,Journaux
2021,novembre,VERAN Olivier,Ministre,01:39:37,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MACRON Emmanuel,Président de la République en débat politique,01:30:44,Chaînes TV infos,BFM TV,Journaux
2021,novembre,DARMANIN Gérald,Ministre,01:21:32,Chaînes TV infos,BFM TV,Journaux
2021,novembre,LE PEN Marine,Rassemblement national,01:13:15,Chaînes TV infos,BFM TV,Journaux
2021,novembre,ROUSSEAU Sandrine,Europe Ecologie-les Verts,01:11:09,Chaînes TV infos,BFM TV,Journaux
2021,novembre,LE MAIRE Bruno,Ministre,01:09:41,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MARIANI Thierry,Rassemblement national,01:09:04,Chaînes TV infos,BFM TV,Journaux
2021,novembre,ROBINET Arnaud,Horizons,01:07:40,Chaînes TV infos,BFM TV,Journaux
2021,novembre,CIOTTI Eric,Les Républicains,00:52:48,Chaînes TV infos,BFM TV,Journaux
2021,novembre,BLANQUER Jean-Michel,Ministre,00:51:15,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MENARD Robert,Divers Droite,00:50:43,Chaînes TV infos,BFM TV,Journaux
2021,novembre,BERTRAND Xavier,Les Républicains,00:49:08,Chaînes TV infos,BFM TV,Journaux
2021,novembre,LECORNU Sébastien,Ministre,00:46:11,Chaînes TV infos,BFM TV,Journaux
2021,novembre,CASTEX Jean,Premier Ministre,00:45:44,Chaînes TV infos,BFM TV,Journaux
2021,novembre,BARNIER Michel,Les Républicains,00:40:03,Chaînes TV infos,BFM TV,Journaux
2021,novembre,PECRESSE Valérie,Les Républicains,00:39:23,Chaînes TV infos,BFM TV,Journaux
2021,novembre,COFFIN Alice,Europe Ecologie-les Verts,00:32:39,Chaînes TV infos,BFM TV,Journaux
2021,novembre,BORNE Elisabeth,Ministre,00:32:11,Chaînes TV infos,BFM TV,Journaux
2021,novembre,JUVIN Philippe,Les Républicains,00:31:24,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MORENO Elisabeth,Ministre,00:29:59,Chaînes TV infos,BFM TV,Journaux
2021,novembre,HIDALGO Anne,Parti socialiste,00:27:57,Chaînes TV infos,BFM TV,Journaux
2021,novembre,THEVENOT Prisca,La République en marche,00:26:46,Chaînes TV infos,BFM TV,Journaux
2021,novembre,CHALUS Ary,Divers Gauche,00:25:40,Chaînes TV infos,BFM TV,Journaux
2021,novembre,HOLLANDE François,Parti socialiste,00:20:38,Chaînes TV infos,BFM TV,Journaux
2021,novembre,LAGARDE Jean-Christophe,Union des démocrates et indépendants,00:20:33,Chaînes TV infos,BFM TV,Journaux
2021,novembre,MONTEBOURG Arnaud,Divers Gauche,00:18:14,Chaînes TV infos,BFM TV,Journaux
2021,novembre,DOUCET Grégory,Europe Ecologie-les Verts,00:17:50,Chaînes TV infos,BFM TV,Journaux
2021,novembre,BALLARD Philippe,Rassemblement national,00:15:21,Chaînes TV infos,BFM TV,Journaux
2021,novembre,TAQUET Adrien,Ministre,00:15:17,Chaînes TV infos,BFM TV,Journaux
2021,novembre,GUIRAUD David,La France insoumise,00:14:34,Chaînes TV infos,BFM TV,Journaux
