annee,mois,intervenant,appartenance,duree,media,chaine,emission
2021,octobre,MACRON Emmanuel,Président de la République en débat politique,00:13:35,Radio,France Inter,Journaux
2021,octobre,MACRON Emmanuel,Président de la République hors débat politique,00:11:10,Radio,France Inter,Journaux
2021,octobre,BAS Philippe,Les Républicains,00:09:59,Radio,France Inter,Journaux
2021,octobre,GASSILLOUD Thomas,La République en marche,00:07:56,Radio,France Inter,Journaux
2021,octobre,DE GIRARDI Claude,Les Républicains,00:07:11,Radio,France Inter,Journaux
2021,octobre,ROLLAND Johanna,Parti socialiste,00:06:56,Radio,France Inter,Journaux
2021,octobre,CASTEX Jean,Premier Ministre,00:06:34,Radio,France Inter,Journaux
2021,octobre,DARMANIN Gérald,Ministre,00:05:14,Radio,France Inter,Journaux
2021,octobre,LE MAIRE Bruno,Ministre,00:05:01,Radio,France Inter,Journaux
2021,octobre,PRADIE Aurélien,Les Républicains,00:04:48,Radio,France Inter,Journaux
2021,octobre,GALUT Yann,Divers Gauche,00:04:40,Radio,France Inter,Journaux
2021,octobre,GIRARDIN Annick,Ministre,00:04:11,Radio,France Inter,Journaux
2021,octobre,VERAN Olivier,Ministre,00:04:00,Radio,France Inter,Journaux
2021,octobre,ANGELRAS Bernard,Les Républicains,00:03:31,Radio,France Inter,Journaux
2021,octobre,EL HAIRY Sarah,Ministre,00:03:24,Radio,France Inter,Journaux
2021,octobre,MELENCHON Jean-Luc,La France insoumise,00:03:03,Radio,France Inter,Journaux
2021,octobre,LE PEN Marine,Rassemblement national,00:02:54,Radio,France Inter,Journaux
2021,octobre,PHILIPPE Edouard,Horizons,00:02:52,Radio,France Inter,Journaux
2021,octobre,BESSE Véronique,Divers Droite,00:02:49,Radio,France Inter,Journaux
2021,octobre,HIDALGO Anne,Parti socialiste,00:02:41,Radio,France Inter,Journaux
2021,octobre,PAYAN Benoit,Parti socialiste,00:02:35,Radio,France Inter,Journaux
2021,octobre,ZEMMOUR Eric,Divers Droite,00:02:21,Radio,France Inter,Journaux
2021,octobre,ORPHELIN Matthieu,Divers Gauche,00:02:16,Radio,France Inter,Journaux
2021,octobre,JADOT Yannick,Europe Ecologie-les Verts,00:02:11,Radio,France Inter,Journaux
2021,octobre,MILITANT(E) LES REPUBLICA,Les Républicains,00:02:08,Radio,France Inter,Journaux
2021,octobre,BOULANGER Mélanie,Parti socialiste,00:01:59,Radio,France Inter,Journaux
2021,octobre,BERTRAND Xavier,Divers Droite,00:01:52,Radio,France Inter,Journaux
2021,octobre,GOSSELIN Philippe,Les Républicains,00:01:44,Radio,France Inter,Journaux
2021,octobre,MAYER ROSSIGNOL Nicolas,Parti socialiste,00:01:41,Radio,France Inter,Journaux
2021,octobre,HURMIC Pierre,Europe Ecologie-les Verts,00:01:38,Radio,France Inter,Journaux
2021,octobre,MILITANT(E) PS,Parti socialiste,00:01:35,Radio,France Inter,Journaux
2021,octobre,ATTAL Gabriel,Ministre,00:01:33,Radio,France Inter,Journaux
2021,octobre,AUBRY Martine,Parti socialiste,00:01:32,Radio,France Inter,Journaux
2021,octobre,SARKOZY Nicolas,Les Républicains,00:01:32,Radio,France Inter,Journaux
2021,octobre,BANNIER Géraldine,Mouvement démocrate,00:01:30,Radio,France Inter,Journaux
2021,octobre,LE FOLL Stéphane,Parti socialiste,00:01:29,Radio,France Inter,Journaux
2021,octobre,MONTEBOURG Arnaud,Divers Gauche,00:01:29,Radio,France Inter,Journaux
2021,octobre,COQUEREL Eric,La France insoumise,00:01:26,Radio,France Inter,Journaux
2021,octobre,CASTANER Christophe,La République en marche,00:01:13,Radio,France Inter,Journaux
2021,octobre,GUILLAUME Sylvie,Parti socialiste,00:01:12,Radio,France Inter,Journaux
2021,octobre,ROUSSEAU Sandrine,Europe Ecologie-les Verts,00:01:11,Radio,France Inter,Journaux
2021,octobre,MANO Jean Yves,Parti socialiste,00:01:08,Radio,France Inter,Journaux
2021,octobre,BLANQUER Jean Michel,Ministre,00:01:08,Radio,France Inter,Journaux
2021,octobre,ROUSSEL Fabien,Parti communiste français,00:01:07,Radio,France Inter,Journaux
2021,octobre,DOUCET Grégory,Europe Ecologie-les Verts,00:01:05,Radio,France Inter,Journaux
2021,octobre,PECRESSE Valérie,Libres,00:01:04,Radio,France Inter,Journaux
2021,octobre,BACHELOT Roselyne,Ministre,00:01:03,Radio,France Inter,Journaux
2021,octobre,MILITANT(E) LA REPUBLIQUE,La République en marche,00:01:03,Radio,France Inter,Journaux
