,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
754,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Mélenchon à Élysée 2022 sur France 2 - Replay,12tBuZap87g,2022-02-10 23:48:48,"['santé', 'ehpad', 'macron', 'lapix', 'hôpital', 'convoi de la liberté', 'héritage', 'Mélenchon', 'otan', 'russie', 'ukraine', 'medef', 'roux de bézieux', 'entreprise', 'smic', 'retraite', 'cohen', 'salamé', 'laïcité', 'musulmans', 'islam', 'femmes', 'hugo clément', 'animaux', 'nucléaire', 'culture', 'jeu vidéo']",none,1687508,25387,0,0,7082,0 days 02:34:13
757,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Mélenchon à « La France dans les yeux » sur BFMTV - Replay,J5-VjTRGGe0,2022-02-17 23:34:34,"[""pouvoir d'achat"", 'smic', 'retraites', 'agriculture', 'immigration', 'passe vaccinal', 'ehpad', 'police', 'entreprises', 'héritage', 'jeunes', 'école', 'hôpital', 'handicap', 'service public']",none,1374581,22221,0,0,5834,0 days 02:30:48
776,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,"#RDLS150 - Ukraine, rencontre Macron-Poutine : ma position",spRuA6ZsyYY,2022-02-09 16:44:44,"['ukraine', 'poutine', 'macron', 'russie', 'usa', 'états-unis', 'otan', 'gazoduc', 'northstream 2', 'allemagne', 'europe']",none,513289,22046,0,0,2280,0 days 00:35:27
786,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Conférence de Jean-Luc Mélenchon à la Sorbonne - #MelenchonSorbonne,sT6qeNbmHB8,2022-02-15 21:03:03,"['sorbonne', 'smic', 'retraites', 'Mélenchon', 'musulmans', '6e république', 'démocratie', 'capitalisme']",none,425504,14044,0,0,1390,0 days 02:09:56
791,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Rencontre avec Poutine : Macron piégé à Moscou,gf9bBdH2uzY,2022-02-08 16:23:23,"['Russie', 'ukraine', 'otan', 'états-unis', 'poutine', 'macron', 'france', 'biden']",none,379408,9579,0,0,1256,0 days 00:07:25
801,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Les riches sont des assistés - Meeting de Mélenchon à Montpellier,4HFzy8mpuzc,2022-02-13 14:44:44,"['montpellier', 'ehpad', 'riches', 'Mélenchon', 'otan', 'ukraine', 'assistés', 'nucléaire', 'smic', 'retraites', 'hôpital', 'école']",none,337537,15963,0,0,2570,0 days 01:34:14
805,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Ukraine : je condamne l'attaque de Poutine,Hr_ehxovO-E,2022-02-24 21:12:12,"['poutine', 'russie', 'ukraine', 'france', 'europe', 'osce']",none,328662,9174,0,0,1797,0 days 00:05:28
836,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,"Ukraine - Cessez-le-feu, retrait russe : ce que la France doit proposer",N4UGAWzvfOo,2022-02-24 16:50:50,"['russie', 'poutine', 'ukraine', 'la réunion', 'essence', 'guerre', 'macron', 'mélenchon']",none,231662,5549,0,0,986,0 days 00:15:21
842,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Ukraine : la France doit être non-alignée,iMZ7rtHZ1zc,2022-02-20 12:42:42,"['ukraine', 'russie', 'otan', 'usa', 'jeunes', 'smic', 'salaires', 'chasse', 'république']",none,226655,6742,0,0,1128,0 days 00:29:44
844,2022/03/08,Jean-Luc Mélenchon,La France insoumise,Extrême gauche,JEAN-LUC MÉLENCHON,Les Russes doivent quitter l'Ukraine - Mélenchon,PETMaF8-UOo,2022-02-24 14:34:34,"['russie', 'ukraine', 'guerre', 'poutine', 'macron', 'mélenchon']",none,226443,5686,0,0,1206,0 days 00:07:11
